Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
1,Alvin Kamara,NOR,RB,25,5,4,0,0,0,0,0,61,281,4.61,4,45,38,395,10.39,3,0,0,7,,,110,147.6,153.6,128.6,52,1,1
2,Derrick Henry,TEN,RB,26,5,5,0,0,0,0,0,123,588,4.78,6,15,8,84,10.5,0,0,0,6,,,103,111.2,114.2,107.2,46,2,2
3,Kyler Murray,ARI,QB,23,6,6,135,205,1487,10,6,51,370,7.25,6,0,0,0,,0,1,1,6,,,158,158.5,171.5,164.5,44,1,3
4,Patrick Mahomes,KAN,QB,25,6,6,144,219,1699,15,1,34,165,4.85,2,0,0,0,,0,1,0,2,,2,158,158.5,165.5,159.5,44,2,4
5,Dalvin Cook,MIN,RB,25,5,5,0,0,0,0,0,92,489,5.32,7,16,12,64,5.33,0,1,1,7,3,,101,113.3,117.3,107.3,44,3,5
6,Adam Thielen,MIN,WR,30,6,6,0,0,0,0,0,3,15,5,0,49,32,415,12.97,7,0,0,7,1,,87,119,122,103,41,1,6
7,Aaron Jones,GNB,RB,26,5,5,0,0,0,0,0,75,389,5.19,5,28,18,161,8.94,2,1,0,7,,,97,115,121,106,40,4,7
8,Calvin Ridley,ATL,WR,26,6,6,0,0,0,0,0,3,14,4.67,0,57,35,546,15.6,5,0,0,5,,,86,121,124,103.5,40,2,8
9,Josh Allen,BUF,QB,24,6,6,145,216,1711,16,4,37,143,3.86,3,0,0,0,,0,3,3,3,,,151,150.7,163.7,154.7,37,3,9
10,Travis Kelce,KAN,TE,31,6,6,0,0,0,0,0,0,0,,0,53,37,470,12.7,5,1,1,5,,,75,112,116,93.5,37,1,10
11,Ezekiel Elliott,DAL,RB,25,6,6,0,0,0,0,0,101,413,4.09,5,43,32,204,6.38,1,5,4,6,1,,92,123.7,133.7,107.7,35,5,11
12,Russell Wilson,SEA,QB,32,5,5,123,169,1502,19,3,23,153,6.65,0,0,0,0,,0,1,0,0,,1,147,147.4,156.4,150.4,33,4,12
13,D.K. Metcalf,SEA,WR,23,5,5,0,0,0,0,0,0,0,,0,39,22,496,22.55,5,1,1,5,,,78,99.6,103.6,88.6,31,3,13
14,Tyreek Hill,KAN,WR,26,6,6,0,0,0,0,0,7,54,7.71,1,38,25,384,15.36,4,1,0,5,,,74,98.8,101.8,86.3,27,4,14
15,Justin Jefferson,MIN,WR,21,6,4,0,0,0,0,0,0,0,,0,36,28,537,19.18,3,0,0,3,1,,74,101.7,104.7,87.7,27,5,15
16,Stefon Diggs,BUF,WR,27,6,6,0,0,0,0,0,0,0,,0,59,42,555,13.21,3,0,0,3,,,74,115.5,118.5,94.5,27,6,16
17,DeAndre Hopkins,ARI,WR,28,6,6,0,0,0,0,0,0,0,,0,61,47,601,12.79,2,0,0,2,,,72,119.1,122.1,95.6,26,7,17
18,Kareem Hunt,CLE,RB,25,6,2,0,0,0,0,0,83,387,4.66,3,18,13,80,6.15,3,1,0,6,,,83,95.7,98.7,89.2,26,6,18
19,Chase Claypool,PIT,WR,22,5,1,0,0,0,0,0,6,21,3.5,2,24,17,335,19.71,4,1,0,6,,,72,88.6,91.6,80.1,25,8,19
20,Will Fuller,HOU,WR,26,6,6,0,0,0,0,0,1,0,0,0,41,28,455,16.25,4,0,0,4,,,70,97.5,100.5,83.5,23,9,20
21,Chris Carson,SEA,RB,26,5,5,0,0,0,0,0,61,289,4.74,3,23,21,140,6.67,3,1,0,6,,,79,99.9,105.9,89.4,22,8,21
22,James Robinson,JAX,RB,22,6,6,0,0,0,0,0,85,362,4.26,3,26,23,207,9,1,2,1,4,,,79,101.9,108.9,90.4,22,7,22
23,Joe Mixon,CIN,RB,24,6,6,0,0,0,0,0,119,428,3.6,3,26,21,138,6.57,1,1,1,4,,,79,99.6,106.6,89.1,21,9,23
24,Todd Gurley,ATL,RB,26,6,6,0,0,0,0,0,99,422,4.26,5,17,11,58,5.27,0,1,0,5,,,78,89,92,83.5,21,10,24
25,Dak Prescott,DAL,QB,27,5,5,151,222,1856,9,4,18,93,5.17,3,1,1,11,11,1,3,3,4,1,1,135,135.6,145.6,139.1,20,5,25
26,Josh Jacobs,LVR,RB,22,5,5,0,0,0,0,0,106,377,3.56,5,20,15,108,7.2,0,1,1,5,,,77,91.5,98.5,84,19,11,26
27,Robert Woods,LAR,WR,28,6,6,0,0,0,0,0,10,76,7.6,1,41,27,329,12.19,3,1,0,4,,,65,91.5,94.5,78,18,10,27
28,Mike Evans,TAM,WR,27,6,6,0,0,0,0,0,0,0,,0,37,23,281,12.22,6,0,0,6,,,64,87.1,90.1,75.6,18,11,28
29,Amari Cooper,DAL,WR,26,6,6,0,0,0,0,0,1,-2,-2,0,65,46,503,10.93,2,0,0,2,1,,64,110.1,113.1,87.1,18,12,29
30,Odell Beckham Jr.,CLE,WR,28,6,6,1,1,18,0,0,3,72,24,1,43,23,319,13.87,3,0,0,4,,,64,86.8,89.8,75.3,17,13,30
31,Clyde Edwards-Helaire,KAN,RB,21,6,6,0,0,0,0,0,107,505,4.72,1,31,21,177,8.43,0,0,0,1,,,74,95.2,101.2,84.7,17,12,31
32,Kenyan Drake,ARI,RB,26,6,4,0,0,0,0,0,105,478,4.55,4,8,6,22,3.67,0,0,0,4,,,74,80,83,77,17,13,32
33,CeeDee Lamb,DAL,WR,21,6,6,0,0,0,0,0,3,13,4.33,0,50,36,497,13.81,2,1,0,2,,,63,99,102,81,17,14,33
